,custid,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city,Sample,lost,Score
1,6H6T6N,28/09/2012,11/08/2013,11/08/2013,29,100,3.448275862,14.52,0,N,N,N,Monday,CHO,Estimation,Y,0.636363636
2,APCENR,19/12/2010,01/04/2011,19/01/2014,95,92.63157895,NA,83.69,0.181640625,Y,Y,Y,Friday,CHO,Estimation,N,0.064112588
3,7UP6MS,03/10/2010,01/12/2010,06/07/2011,0,0,0,33.58,0.059907834,N,N,N,Wednesday,CHO,Estimation,Y,0.564921243
4,7ZEW8G,22/10/2010,28/03/2011,28/03/2011,0,0,0,54.96,0,N,N,N,Thursday,RIC,Estimation,Y,0.564921243
5,8V726M,27/11/2010,29/11/2010,28/01/2013,30,90,13.33333333,111.91,0.008849558,N,N,N,Monday,RIC,Validation,N,0.101686747
6,2B6B83,17/11/2008,12/10/2010,14/01/2014,46,80.43478261,15.2173913,175.1,0.141176471,Y,Y,N,Wednesday,CHO,Holdout,NA,0.064112588
7,99XGVM,24/01/2011,16/05/2011,16/01/2014,60,43.33333333,6.666666667,116.55,0.125,N,Y,N,Friday,RIC,Validation,N,0.101686747
8,U3MP5L,04/12/2009,21/09/2011,16/01/2014,64,28.125,15.625,68.1,0.04009434,Y,Y,N,Friday,CHO,Estimation,N,0.064112588
9,ELKAGQ,18/09/2010,09/11/2010,09/11/2010,45,0,0,46.6,0,N,N,N,Wednesday,CHO,Holdout,NA,0.564921243
10,3SBQP2,29/12/2010,20/02/2011,10/12/2013,34,94.11764706,8.823529412,66.07,0.133789063,Y,N,N,Monday,CHO,Estimation,N,0.091595845
11,YMALVV,22/09/2010,18/11/2010,15/01/2014,48,83.33333333,2.083333333,89.04,0.086655113,N,N,Y,Friday,CHO,Estimation,N,0.101686747
12,GW8NT7,16/11/2009,09/05/2011,05/01/2014,40,87.5,NA,88.3,0.088477366,N,N,N,Wednesday,CHO,Validation,N,0.101686747
13,TFKLD4,25/07/2009,15/11/2010,19/01/2014,69,2.898550725,NA,126.81,0.059431525,Y,Y,Y,Monday,CHO,Estimation,N,0.064112588
14,RAQ92T,14/03/2010,01/03/2011,06/10/2013,38,36.84210526,23.68421053,116.77,0.078947368,N,N,N,Tuesday,CHO,Validation,N,0.101686747
15,DMJERJ,11/04/2011,14/04/2011,13/01/2014,16,12.5,0,59.25,0.129353234,Y,Y,N,Tuesday,CHO,Estimation,Y,0.064112588
16,FJKD8W,08/03/2011,27/03/2011,07/01/2014,45,60,15.55555556,49.73,0.044247788,Y,Y,N,Wednesday,RIC,Validation,N,0.064112588
17,HEPCW7,02/10/2010,25/01/2011,12/01/2014,13,61.53846154,15.38461538,156.54,0.119113573,Y,N,N,Monday,CHO,Estimation,Y,0.091595845
18,2JZAE3,30/08/2010,12/03/2012,15/10/2013,48,8.333333333,2.083333333,101.06,0.037800687,N,N,N,Monday,CHO,Estimation,N,0.101686747
19,BYS2DU,02/02/2011,10/04/2011,19/01/2014,57,17.54385965,0,14.02,0.066009852,N,N,N,Monday,RIC,Validation,N,0.101686747
20,F6MHUM,14/09/2010,03/05/2011,15/01/2014,46,65.2173913,NA,79.39,0.069838057,Y,N,N,Thursday,CHO,Validation,N,0.091595845
21,LSL6QK,22/02/2011,02/05/2011,02/05/2011,0,0,0,29.17,0,N,N,N,Monday,RIC,Estimation,Y,0.564921243
22,9SVNMF,18/12/2010,19/12/2010,18/07/2012,47,2.127659574,0,79.88,0.006932409,N,N,N,Wednesday,CHO,Estimation,N,0.039903265
23,JPBBEP,12/08/2010,22/08/2012,01/05/2013,47,19.14893617,10.63829787,115.25,0.138888889,Y,N,N,Wednesday,CHO,Validation,N,0.091595845
24,3ML22U,10/03/2011,24/04/2011,14/11/2012,0,0,0,76.67,0.007017544,N,N,N,Tuesday,CHO,Holdout,NA,0.564921243
25,N297FU,24/04/2010,20/12/2010,17/11/2011,0,0,0,35.86,0.006024096,N,N,N,Tuesday,CHO,Estimation,Y,0.564921243
26,JD96M8,26/01/2011,13/06/2011,02/08/2011,18,0,NA,85.61,0.08,N,N,N,Tuesday,CHO,Estimation,N,0.564921243
27,PLM5WZ,17/11/2009,24/11/2009,08/10/2013,0,0,0,75.54,0.007072136,N,N,N,Monday,CHO,Estimation,Y,0.564921243
28,F3MF5Y,24/07/2010,29/07/2010,28/11/2011,31,100,9.677419355,59.67,0.016427105,N,N,N,Thursday,CHO,Validation,N,0.636363636
29,2GHDRJ,24/07/2009,23/05/2010,07/03/2013,46,6.52173913,NA,59.11,0.015701668,Y,N,N,Friday,RIC,Estimation,N,0.016858917
30,KZHTJ7,26/01/2011,28/02/2011,17/12/2013,49,36.73469388,20.40816327,33.87,0.026392962,N,N,N,Monday,RIC,Estimation,N,0.101686747
31,WXBP2F,28/08/2010,17/05/2011,14/06/2011,16,0,0,64.82,0.071428571,N,N,N,Tuesday,CHO,Validation,N,0.564921243
32,RJYYJ9,29/01/2011,19/08/2012,19/08/2012,45,11.11111111,0,60.94,0,N,N,N,Tuesday,RIC,Holdout,NA,0.101686747
